Head east on Baldwin Street on Baldwin Street, continue for 85.0 meters and taking about 61.2 seconds.
Turn right, continue for 2.9 meters and taking about 2.1 seconds.
Turn left, continue for 47.8 meters and taking about 34.4 seconds.
Turn right, continue for 74.2 meters and taking about 53.4 seconds.
Turn left, continue for 33.6 meters and taking about 24.2 seconds.
Turn left, continue for 47.4 meters and taking about 34.2 seconds.
Turn right, continue for 525.4 meters and taking about 378.3 seconds.
Turn right, continue for 44.4 meters and taking about 32.0 seconds.
Turn left, continue for 241.2 meters and taking about 173.7 seconds.
Turn left, continue for 140.6 meters and taking about 101.2 seconds.
Turn right, continue for 33.2 meters and taking about 23.9 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
