Name: Vancouver Avenue, Instruction: Head north on Vancouver Avenue, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 102.8 meters, Time: 74.0 seconds
Name: -, Instruction: Turn left, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 25.3 meters, Time: 18.2 seconds
Name: -, Instruction: Turn left, Distance: 61.7 meters, Time: 44.4 seconds
Name: -, Instruction: Turn right, Distance: 35.0 meters, Time: 25.2 seconds
Name: -, Instruction: Turn left, Distance: 123.6 meters, Time: 89.0 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 228.5 meters, Time: 164.5 seconds
Name: -, Instruction: Turn left, Distance: 244.3 meters, Time: 175.9 seconds
Name: -, Instruction: Turn left, Distance: 95.1 meters, Time: 68.5 seconds
Name: Lake Shore Boulevard Recreational Trail, Instruction: Turn left onto Lake Shore Boulevard Recreational Trail, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 52.6 meters, Time: 37.9 seconds
Name: Martin Goodman Trail, Instruction: Continue straight onto Martin Goodman Trail, Distance: 169.7 meters, Time: 122.2 seconds
Name: -, Instruction: Keep right, Distance: 112.5 meters, Time: 81.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
