Head north on Vancouver Avenue on Vancouver Avenue, continue for 8.4 meters and taking about 6.0 seconds.
Turn left, continue for 102.8 meters and taking about 74.0 seconds.
Turn left, continue for 16.2 meters and taking about 11.7 seconds.
Turn right, continue for 25.3 meters and taking about 18.2 seconds.
Turn left, continue for 61.7 meters and taking about 44.4 seconds.
Turn right, continue for 35.0 meters and taking about 25.2 seconds.
Turn left, continue for 123.6 meters and taking about 89.0 seconds.
Turn right, continue for 4.3 meters and taking about 3.1 seconds.
Turn left, continue for 16.3 meters and taking about 11.7 seconds.
Turn right, continue for 228.5 meters and taking about 164.5 seconds.
Turn left, continue for 244.3 meters and taking about 175.9 seconds.
Turn left, continue for 95.1 meters and taking about 68.5 seconds.
Turn left onto Lake Shore Boulevard Recreational Trail on Lake Shore Boulevard Recreational Trail, continue for 6.3 meters and taking about 4.5 seconds.
Turn sharp right, continue for 52.6 meters and taking about 37.9 seconds.
Continue straight onto Martin Goodman Trail on Martin Goodman Trail, continue for 169.7 meters and taking about 122.2 seconds.
Keep right, continue for 112.5 meters and taking about 81.0 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
