Name: Clinton Place, Instruction: Head west on Clinton Place, Distance: 48.9 meters, Time: 35.2 seconds
Name: -, Instruction: Turn right, Distance: 62.9 meters, Time: 45.3 seconds
Name: -, Instruction: Turn right, Distance: 33.7 meters, Time: 24.2 seconds
Name: -, Instruction: Turn slight right, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 19.4 meters, Time: 14.0 seconds
Name: -, Instruction: Turn slight left, Distance: 69.8 meters, Time: 50.3 seconds
Name: -, Instruction: Turn left, Distance: 284.3 meters, Time: 204.7 seconds
Name: -, Instruction: Keep left, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Turn slight left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn slight right, Distance: 380.8 meters, Time: 274.2 seconds
Name: -, Instruction: Keep left, Distance: 439.4 meters, Time: 316.4 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn slight right, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn slight right, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn left, Distance: 278.0 meters, Time: 200.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
