Head west on Clinton Place on Clinton Place, continue for 48.9 meters and taking about 35.2 seconds.
Turn right, continue for 62.9 meters and taking about 45.3 seconds.
Turn right, continue for 33.7 meters and taking about 24.2 seconds.
Turn slight right, continue for 2.4 meters and taking about 1.7 seconds.
Turn left, continue for 19.4 meters and taking about 14.0 seconds.
Turn slight left, continue for 69.8 meters and taking about 50.3 seconds.
Turn left, continue for 284.3 meters and taking about 204.7 seconds.
Keep left, continue for 13.0 meters and taking about 9.4 seconds.
Turn slight left, continue for 3.9 meters and taking about 2.8 seconds.
Turn slight right, continue for 380.8 meters and taking about 274.2 seconds.
Keep left, continue for 439.4 meters and taking about 316.4 seconds.
Turn right, continue for 6.6 meters and taking about 4.7 seconds.
Turn left, continue for 14.0 meters and taking about 10.1 seconds.
Turn slight right, continue for 10.0 meters and taking about 7.2 seconds.
Turn slight right, continue for 22.2 meters and taking about 16.0 seconds.
Turn left, continue for 278.0 meters and taking about 200.2 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
