Name: Maynard Avenue, Instruction: Head south on Maynard Avenue, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 27.6 meters, Time: 19.8 seconds
Name: -, Instruction: Turn right, Distance: 96.0 meters, Time: 69.1 seconds
Name: -, Instruction: Turn slight right, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Keep left, Distance: 690.3 meters, Time: 497.0 seconds
Name: -, Instruction: Turn left, Distance: 194.0 meters, Time: 139.7 seconds
Name: -, Instruction: Keep left, Distance: 245.1 meters, Time: 176.5 seconds
Name: -, Instruction: Turn left, Distance: 17.3 meters, Time: 12.4 seconds
Name: -, Instruction: Turn slight right, Distance: 63.9 meters, Time: 46.0 seconds
Name: -, Instruction: Keep left, Distance: 11.0 meters, Time: 7.9 seconds
Name: Claude Avenue, Instruction: Turn right onto Claude Avenue, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn slight left, Distance: 99.7 meters, Time: 71.8 seconds
Name: -, Instruction: Turn right, Distance: 98.0 meters, Time: 70.6 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.4 seconds
Name: Indian Road, Instruction: Turn left onto Indian Road, Distance: 129.3 meters, Time: 93.1 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 158.8 meters, Time: 114.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
