Head south on Maynard Avenue on Maynard Avenue, continue for 15.7 meters and taking about 11.3 seconds.
Turn right, continue for 4.0 meters and taking about 2.9 seconds.
Turn left, continue for 27.6 meters and taking about 19.8 seconds.
Turn right, continue for 96.0 meters and taking about 69.1 seconds.
Turn slight right, continue for 1.5 meters and taking about 1.1 seconds.
Keep left, continue for 690.3 meters and taking about 497.0 seconds.
Turn left, continue for 194.0 meters and taking about 139.7 seconds.
Keep left, continue for 245.1 meters and taking about 176.5 seconds.
Turn left, continue for 17.3 meters and taking about 12.4 seconds.
Turn slight right, continue for 63.9 meters and taking about 46.0 seconds.
Keep left, continue for 11.0 meters and taking about 7.9 seconds.
Turn right onto Claude Avenue on Claude Avenue, continue for 20.7 meters and taking about 14.9 seconds.
Turn left, continue for 5.5 meters and taking about 3.9 seconds.
Turn slight left, continue for 99.7 meters and taking about 71.8 seconds.
Turn right, continue for 98.0 meters and taking about 70.6 seconds.
Turn right, continue for 4.8 meters and taking about 3.4 seconds.
Turn left onto Indian Road on Indian Road, continue for 129.3 meters and taking about 93.1 seconds.
Turn right, continue for 3.9 meters and taking about 2.8 seconds.
Turn left, continue for 158.8 meters and taking about 114.3 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
