Name: Broadway Avenue, Instruction: Head east on Broadway Avenue, Distance: 242.6 meters, Time: 174.7 seconds
Name: Rapert Avenue, Instruction: Turn left onto Rapert Avenue, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 80.0 meters, Time: 57.6 seconds
Name: -, Instruction: Turn left, Distance: 304.9 meters, Time: 219.5 seconds
Name: -, Instruction: Keep left, Distance: 477.0 meters, Time: 343.4 seconds
Name: -, Instruction: Keep left, Distance: 9.0 meters, Time: 6.5 seconds
Name: Wellness Way, Instruction: Turn right onto Wellness Way, Distance: 37.0 meters, Time: 26.7 seconds
Name: Wellness Way, Instruction: Keep left onto Wellness Way, Distance: 96.5 meters, Time: 69.5 seconds
Name: Wellness Way, Instruction: Continue straight onto Wellness Way, Distance: 72.9 meters, Time: 52.5 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
