Name: Gamble Avenue, Instruction: Head east on Gamble Avenue, Distance: 59.0 meters, Time: 42.5 seconds
Name: Logan Avenue, Instruction: Turn right onto Logan Avenue, Distance: 101.3 meters, Time: 72.9 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn right, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn left, Distance: 349.3 meters, Time: 251.5 seconds
Name: -, Instruction: Turn slight right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn slight left, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 94.7 meters, Time: 68.2 seconds
Name: -, Instruction: Keep right, Distance: 106.2 meters, Time: 76.4 seconds
Name: -, Instruction: Turn slight left, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 32.0 meters, Time: 23.1 seconds
Name: Lippert Lane, Instruction: Turn right onto Lippert Lane, Distance: 5.7 meters, Time: 4.1 seconds
Name: Floyd Avenue, Instruction: Turn left onto Floyd Avenue, Distance: 12.3 meters, Time: 8.8 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 199.2 meters, Time: 143.4 seconds
Name: -, Instruction: Turn right, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
