Name: Vesta Drive, Instruction: Head southeast on Vesta Drive, Distance: 99.6 meters, Time: 71.7 seconds
Name: -, Instruction: Continue straight, Distance: 119.0 meters, Time: 85.7 seconds
Name: -, Instruction: Turn left, Distance: 57.8 meters, Time: 41.6 seconds
Name: Bilton Lane, Instruction: Turn right onto Bilton Lane, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn left, Distance: 37.4 meters, Time: 26.9 seconds
Name: -, Instruction: Turn slight right, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 86.9 meters, Time: 62.6 seconds
Name: Montclair Avenue, Instruction: Turn left onto Montclair Avenue, Distance: 158.9 meters, Time: 114.4 seconds
Name: -, Instruction: Turn right, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Turn right, Distance: 104.1 meters, Time: 75.0 seconds
Name: -, Instruction: Keep right, Distance: 4.9 meters, Time: 3.5 seconds
Name: Heath Street West, Instruction: Turn left onto Heath Street West, Distance: 639.4 meters, Time: 460.4 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
