Name: Milan Street, Instruction: Head north on Milan Street, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn left, Distance: 44.2 meters, Time: 31.8 seconds
Name: -, Instruction: Turn left, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn right, Distance: 82.6 meters, Time: 59.4 seconds
Name: -, Instruction: Turn left, Distance: 38.8 meters, Time: 27.9 seconds
Name: -, Instruction: Turn right, Distance: 120.9 meters, Time: 87.1 seconds
Name: -, Instruction: Turn left, Distance: 247.4 meters, Time: 178.1 seconds
Name: -, Instruction: Turn right, Distance: 50.5 meters, Time: 36.4 seconds
Name: Stonecutters Lane, Instruction: Turn left onto Stonecutters Lane, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 162.3 meters, Time: 116.8 seconds
Name: George Street, Instruction: Turn left onto George Street, Distance: 58.8 meters, Time: 42.4 seconds
Name: -, Instruction: Turn right, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 88.7 meters, Time: 63.8 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn left, Distance: 27.3 meters, Time: 19.7 seconds
Name: -, Instruction: Keep right, Distance: 1.3 meters, Time: 1.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 99.7 meters, Time: 71.8 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Keep right, Distance: 43.0 meters, Time: 31.0 seconds
Name: -, Instruction: Turn slight right, Distance: 69.7 meters, Time: 50.2 seconds
Name: -, Instruction: Turn left, Distance: 186.0 meters, Time: 133.9 seconds
Name: -, Instruction: Turn right, Distance: 24.8 meters, Time: 17.9 seconds
Name: -, Instruction: Turn slight right, Distance: 317.7 meters, Time: 228.7 seconds
Name: -, Instruction: Turn right, Distance: 174.7 meters, Time: 125.8 seconds
Name: -, Instruction: Turn left, Distance: 67.5 meters, Time: 48.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
