Head north on Milan Street on Milan Street, continue for 8.2 meters and taking about 5.9 seconds.
Turn left, continue for 44.2 meters and taking about 31.8 seconds.
Turn left, continue for 16.4 meters and taking about 11.8 seconds.
Turn right, continue for 82.6 meters and taking about 59.4 seconds.
Turn left, continue for 38.8 meters and taking about 27.9 seconds.
Turn right, continue for 120.9 meters and taking about 87.1 seconds.
Turn left, continue for 247.4 meters and taking about 178.1 seconds.
Turn right, continue for 50.5 meters and taking about 36.4 seconds.
Turn left onto Stonecutters Lane on Stonecutters Lane, continue for 17.8 meters and taking about 12.8 seconds.
Turn right, continue for 162.3 meters and taking about 116.8 seconds.
Turn left onto George Street on George Street, continue for 58.8 meters and taking about 42.4 seconds.
Turn right, continue for 7.2 meters and taking about 5.2 seconds.
Turn left, continue for 5.8 meters and taking about 4.2 seconds.
Turn right, continue for 88.7 meters and taking about 63.8 seconds.
Turn left, continue for 4.8 meters and taking about 3.5 seconds.
Turn sharp right, continue for 18.2 meters and taking about 13.1 seconds.
Turn left, continue for 27.3 meters and taking about 19.7 seconds.
Keep right, continue for 1.3 meters and taking about 1.0 seconds.
Turn sharp right, continue for 4.4 meters and taking about 3.2 seconds.
Turn left, continue for 99.7 meters and taking about 71.8 seconds.
Turn right, continue for 6.5 meters and taking about 4.7 seconds.
Turn left, continue for 18.6 meters and taking about 13.4 seconds.
Keep right, continue for 43.0 meters and taking about 31.0 seconds.
Turn slight right, continue for 69.7 meters and taking about 50.2 seconds.
Turn left, continue for 186.0 meters and taking about 133.9 seconds.
Turn right, continue for 24.8 meters and taking about 17.9 seconds.
Turn slight right, continue for 317.7 meters and taking about 228.7 seconds.
Turn right, continue for 174.7 meters and taking about 125.8 seconds.
Turn left, continue for 67.5 meters and taking about 48.6 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
