Name: Runnymede Road, Instruction: Head north on Runnymede Road, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 268.4 meters, Time: 193.2 seconds
Name: -, Instruction: Turn slight right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Keep left, Distance: 216.8 meters, Time: 156.1 seconds
Name: -, Instruction: Keep left, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Keep right, Distance: 512.5 meters, Time: 369.0 seconds
Name: -, Instruction: Keep left, Distance: 119.5 meters, Time: 86.0 seconds
Name: -, Instruction: Turn slight left, Distance: 81.7 meters, Time: 58.8 seconds
Name: -, Instruction: Keep left, Distance: 103.0 meters, Time: 74.2 seconds
Name: -, Instruction: Turn left, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Keep right, Distance: 58.8 meters, Time: 42.3 seconds
Name: -, Instruction: Keep left, Distance: 177.2 meters, Time: 127.6 seconds
Name: -, Instruction: Turn left, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
