Name: Miranda Avenue, Instruction: Head north on Miranda Avenue, Distance: 33.4 meters, Time: 24.0 seconds
Name: Castlefield Avenue, Instruction: Turn left onto Castlefield Avenue, Distance: 193.0 meters, Time: 139.0 seconds
Name: Ronald Avenue, Instruction: Turn left onto Ronald Avenue, Distance: 52.0 meters, Time: 37.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 353.5 meters, Time: 254.5 seconds
Name: Caledonia Road, Instruction: Turn left onto Caledonia Road, Distance: 33.8 meters, Time: 24.3 seconds
Name: -, Instruction: Turn right, Distance: 325.7 meters, Time: 234.5 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 33.7 meters, Time: 24.2 seconds
Name: Bowie Avenue, Instruction: Turn right onto Bowie Avenue, Distance: 10.4 meters, Time: 7.5 seconds
Name: Croham Road, Instruction: Turn left onto Croham Road, Distance: 226.8 meters, Time: 163.3 seconds
Name: -, Instruction: Turn right, Distance: 165.0 meters, Time: 118.8 seconds
Name: -, Instruction: Turn left, Distance: 22.7 meters, Time: 16.3 seconds
Name: -, Instruction: Turn right, Distance: 362.2 meters, Time: 260.8 seconds
Name: -, Instruction: Keep left, Distance: 94.3 meters, Time: 67.9 seconds
Name: -, Instruction: Keep right, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
