Head southwest, continue for 98.4 meters and taking about 70.8 seconds.
Turn slight right, continue for 1.8 meters and taking about 1.3 seconds.
Keep left, continue for 94.6 meters and taking about 68.1 seconds.
Keep left, continue for 494.4 meters and taking about 356.0 seconds.
Turn left, continue for 84.2 meters and taking about 60.6 seconds.
Turn left, continue for 89.9 meters and taking about 64.7 seconds.
Keep left, continue for 18.8 meters and taking about 13.5 seconds.
Turn right, continue for 122.2 meters and taking about 88.0 seconds.
Keep right, continue for 395.7 meters and taking about 284.9 seconds.
Turn left, continue for 286.5 meters and taking about 206.2 seconds.
Turn right, continue for 5.4 meters and taking about 3.9 seconds.
Continue straight onto Old Stock Yards Road on Old Stock Yards Road, continue for 6.8 meters and taking about 4.9 seconds.
Turn left, continue for 11.0 meters and taking about 7.9 seconds.
Turn right, continue for 56.1 meters and taking about 40.4 seconds.
Turn left, continue for 13.7 meters and taking about 9.9 seconds.
Turn right, continue for 15.6 meters and taking about 11.2 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
