Name: Pavane Linkway, Instruction: Head southeast on Pavane Linkway, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn left, Distance: 412.7 meters, Time: 297.1 seconds
Name: -, Instruction: Keep left, Distance: 482.6 meters, Time: 347.5 seconds
Name: -, Instruction: Turn right, Distance: 756.1 meters, Time: 544.4 seconds
Name: -, Instruction: Turn left, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 112.0 meters, Time: 80.6 seconds
Name: -, Instruction: Turn right, Distance: 28.9 meters, Time: 20.8 seconds
Name: -, Instruction: Turn right, Distance: 77.1 meters, Time: 55.5 seconds
Name: -, Instruction: Keep right, Distance: 36.0 meters, Time: 25.9 seconds
Name: -, Instruction: Turn left, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
