Head southeast on Pavane Linkway on Pavane Linkway, continue for 7.2 meters and taking about 5.2 seconds.
Turn left, continue for 412.7 meters and taking about 297.1 seconds.
Keep left, continue for 482.6 meters and taking about 347.5 seconds.
Turn right, continue for 756.1 meters and taking about 544.4 seconds.
Turn left, continue for 17.5 meters and taking about 12.6 seconds.
Turn right, continue for 112.0 meters and taking about 80.6 seconds.
Turn right, continue for 28.9 meters and taking about 20.8 seconds.
Turn right, continue for 77.1 meters and taking about 55.5 seconds.
Keep right, continue for 36.0 meters and taking about 25.9 seconds.
Turn left, continue for 10.5 meters and taking about 7.6 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
